	id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	address	latitude	longitude
3778	84904	0.43	20		1.0		True			False		an phú đông	quận 12	tin thường	30/11/2022	an phú đông, quận 12	10.8588271	106.6966734
3779	83624	7.6	64	4.0	4.0	2.0	True	đông-nam		False		lê đức thọ	gò vấp	tin thường	20/11/2022	lê đức thọ, gò vấp	10.8431762	106.67465
3780	82344	4.2	40	5.0	3.0	2.0	False	tây-nam		False			gò vấp	tin thường	08/11/2022	gò vấp	10.8306171	106.6779308
3781	82088	9.5	63	4.0	5.0	3.0	False			False		nguyễn văn đậu	bình thạnh	tin thường	07/11/2022	nguyễn văn đậu, bình thạnh	10.8123441	106.6930962
3782	113319	8.79	81	5.0	5.0	4.0	False	đông-nam		True		số 1	gò vấp	tin thường	23/11/2023	số 1, gò vấp	10.8254204	106.690633
3783	113063	9.2	51	3.0	4.0	5.0	True			True			quận 3	tin thường	27/11/2023	quận 3	10.778639	106.6870156
3784	112807	7.5	90			3.0	True			False			gò vấp	tin thường	06/11/2023	gò vấp	10.8306171	106.6779308
3785	112551	3.19	20			3.0	True			False			tân bình	tin thường	05/11/2023	tân bình	10.802583	106.6521157
3786	98216	0.02	40	4.0	3.0		True			False			quận 10	tin thường	31/05/2023	quận 10	10.772732	106.6683666
3787	98728	9.8	55	3.0	4.0	5.0	True			False			quận 3	tin thường	07/06/2023	quận 3	10.778639	106.6870156
3788	111784	3.9	60	2.0	2.0		True			False		đỗ xuân hơp	quận 9	tin thường	25/10/2023	đỗ xuân hơp, quận 9	10.8397	106.77093
3789	84649	5.8	54	4.0	2.0	4.0	False			False		số 1	gò vấp	tin thường	28/11/2022	số 1, gò vấp	10.8254204	106.690633
3790	83881	15.8	190	20.0	20.0	4.0	False			False			quận 2	tin thường	21/11/2022	quận 2	10.779419	106.7308381
3791	82857	13.0	83	2.0	2.0		False			True		số 7	quận 7	tin thường	12/11/2022	số 7, quận 7	10.7510103	106.7177421
3792	82345	3.45	50	1.0	1.0	3.0	False			False			quận 2	tin thường	08/11/2022	quận 2	10.779419	106.7308381
3793	80553	9.5	70	4.0	4.0	3.0	True			False		lê quang định	bình thạnh	tin thường	28/10/2022	lê quang định, bình thạnh	10.8072078	106.6963574
