id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	location2
120949	6.7	46	3.0	3.0	1	True			False	sổ đỏ/ sổ hồng	nguyễn thị thập	quận 7	tin thường	30/09/2024	đường nguyễn thị thập, bình thuận
120953	1.3	70	2.0	2.0		False			True	hợp đồng mua bán	nguyễn văn linh	bình chánh	tin thường	30/09/2024	đường nguyễn văn linh, an phú tây
120954	3.9	30	2.0	2.0	2	True			False	sổ đỏ/ sổ hồng	lê thị bạch cát	quận 11	tin thường	30/09/2024	đường lê thị bạch cát, 1
120956	5.4	20	2.0	3.0	3	True			True	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	30/09/2024	đường tô hiến thành, 12
120957	14.5	180	8.0	8.0	1	False			False	sổ đỏ/ sổ hồng	nguyễn duy trinh	quận 9	tin thường	30/09/2024	đường nguyễn duy trinh, phú hữu
120958	5.8	48				True	đông bắc		False	sổ đỏ/ sổ hồng	bùi thị xuân	tân bình	tin thường	30/09/2024	đường bùi thị xuân, 1
120961	5.4	20	2.0	3.0	3	True			True	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	30/09/2024	đường tô hiến thành, 12
120967	3.6	33	2.0	2.0	2	False			False	sổ đỏ/ sổ hồng	kênh tân hóa	tân phú	tin thường	30/09/2024	đường kênh tân hoá, hòa thạnh
120971	6.9	65	2.0	3.0	3	False			False	sổ đỏ/ sổ hồng	dương tử giang	quận 5	tin thường	30/09/2024	đường dương tử giang, 12
120973	2.75	22	2.0	2.0	2	False			True	sổ đỏ/ sổ hồng	tân vĩnh	quận 4	tin thường	30/09/2024	đường tân vĩnh, 4
120976	12.8	60	4.0	4.0	4	False			False	sổ đỏ/ sổ hồng	nguyễn trãi	quận 5	tin thường	30/09/2024	đường nguyễn trãi, 7
120977	3.9	50	4.0	2.0	2	True			False	sổ đỏ/ sổ hồng	số 6	quận 2	tin thường	30/09/2024	đường 6, bình trưng tây
120978	28.0	150	8.0	2.0		True			False	sổ đỏ/ sổ hồng	nguyễn trãi	quận 1	tin thường	30/09/2024	đường nguyễn trãi, nguyễn cư trinh
120985	6.8	133			1	False			False	sổ đỏ/ sổ hồng	nguyễn văn luông	quận 6	tin thường	01/10/2024	đường nguyễn văn luông, 10
120988	11.5	72	6.0	4.0	4	False			True	sổ đỏ/ sổ hồng	võ văn kiệt	quận 1	tin thường	01/10/2024	đường võ văn kiệt, cầu kho
120991	1.8199999999999998	12	3.0	2.0	4	True			False	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	01/10/2024	đường tô hiến thành, 12
120993	1.8	12	3.0	2.0	4	True			False	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	01/10/2024	đường tô hiến thành, 12
118995	7.0	85	4.0	4.0	5	True			True	sổ đỏ/ sổ hồng	số 1	bình chánh	tin thường	12/09/2024	đường 1, vĩnh lộc a
120796	5.9	54	4.0	3.0	3	False			False	sổ đỏ/ sổ hồng	phạm văn chiêu	gò vấp	tin thường	28/09/2024	đường phạm văn chiêu, 8
120802	5.35	25	3.0	3.0	5	True			False	sổ đỏ/ sổ hồng	hoàng hoa thám	bình thạnh	tin thường	28/09/2024	đường hoàng hoa thám, 6
120804	1.45	32	2.0	2.0	2	False	tây nam		False	hợp đồng mua bán	cao lỗ	quận 8	tin thường	28/09/2024	đường cao lỗ, 4
120808	30.0	179	5.0	5.0	5	True			False	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	29/09/2024	đường tô hiến thành, 12
